,time,aid,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like,dislike,no_reprint,copyright
0,2022-10-13 14:11:18,584215068,36309,32,246,873,533,144,0,0,1071,0,1,1
1,2022-10-13 14:11:27,584215068,36309,32,246,873,533,144,0,0,1071,0,1,1
